id	text	sentiment
11884	ysto saloo media madrchor tytikae ledies boldaen	Negative
26865	shonika ko antrbarta sarai mn prx uhako boli sabda...	Positive
19318	thukka maachikney democracy 😠😟	Negative
14636	phuyal sir bolena tv show banda garnu porx bhanda ta chupalaga	Negative
20970	aakha rasayo surya ruda 😭😍	Neutral
11797	enilai nay garai dinus aayush sir arko video ma herna pau	Neutral
23069	nepal kahile develop hune yasto kasingar haru ta chhta •best wishes prem geet3,dipendra rokka ghin lagyo tero para	Negative
25249	zoro ako lai kina hospital, cetamol khaye ta bahyo ta	Neutral
19868	ratna park ko bus park m shopping mall banakox kasle ho khojnu pareu	Neutral
17837	lamjung tira ho kyao	Neutral
12725	mero mami pani yestai hunuhunxs	Neutral
25368	jack of all trades master of none wala type ko engineer raichan bro. rap nai gara bro, aile samma thik thikai vako ktm lai barbaad gardinne vo bro le.	Negative
16916	syal budo le answer dina sakena	Negative
26661	great kuro abishek guru	Positive
21390	shashwat sharma lai layera sodnu parne vo chore fata pm lai	Negative
13148	aba herinna yo show 😡	Negative
24681	yo youtube channel lay deas ko lagi dinesh bk ko government lai support garidinu hunxha ki	Neutral
20463	very good yi mahila mp lai dhanyebad x	Positive
25001	npl govt le strictly nitiniyam lyaunu paryo ni jastai gulf ma kada kanum xa asari lyaunu paryo sansad ma national language bolnu parxa adi afno national speech garna audain vane kasari sansad banxa kasari kam garxa kasari tesle desh chalauxa asto ni hunxa .	Neutral
27907	hami sabaile khojeko candidate lyaunuvayo….pls kindly call bikram bk too	Positive
16950	sabai kura ramro taaa chadai cha yo show ko but who ever dose that contour on gauri rai’s nose , please !! 😁	Neutral
23198	katti mitho gaunu vako sarai man parxa uhako awaaj ❤️❤️lots of love	Positive
19648	yo swastima k pgl ho	Negative
24683	yesta yesta pade guff harulai trending ma puryau ani hunxw hamro desko pragati.	Negative
15550	thank you very much lahure bro sano nani ko lagi sabai tyagnu vayo congratulations dubai janalai	Positive
23901	ahha kati mahan nari salam xa sis maro tapai lai	Positive
11005	yo paagalni laai kasle interview lieko ho absolutely idiot	Negative
15775	dhama chor jasto xa y'all	Negative
10808	english ma dipendra ji le kina interview linu hunna? uha ta phd student journalism ko haina ra?	Neutral
22301	sakxau vani rajinama deu, timle kehi garna sakdainau kursi maa basera. aba younger le palo pauna paryo, we need prabhat, sandesh. very dirty politics in our country 🙄😏🤧	Negative
24810	congaratss both... nani ko lagi ekdam khusi lagyo bt yo aaimai lai dekherw ajhai ris moreko xuina mero.... moile tw thulo kam gareko roixu vanne lagyo hola samman pauda... lucky roixs buda rw xori lai sadai maya n samman gares jathiiii	Neutral
12372	yo sisters ko number upalabda garai dinus na hjr	Neutral
13776	e desh drohi haru ko lahor tanu pacha suprim curt le	Negative
25346	tyo chair change garnu paryo . . .	Neutral
31567	oo sabin dai fell so sad be strong dai	Neutral
12024	jagadish sir tawaa hahaha salud xa saugat shha sir	Positive
25879	hoin sir vai jasto dai tw vai dai jasto	Neutral
31877	mr sthapit from uml is good too . best wishes raj .	Positive
23817	ati sundar nani ko pryass	Positive
21595	k vako sushma lai 😭	Neutral
31716	wou joker le ramro danak payo.damdar interview,khariyexn lila.	Positive
16056	thank you dr saap,nepal ahko bela hajur sangga vetera mero hyperthyroidism ko treatment garera swastha hune chu.	Neutral
26627	without information juslai pani ris uthxa.	Neutral
31728	koshi ko dr. sabai laita vandina tara 1/2 dr . chai thik xaina pet dukhera gako chhatiko x ray garna lauxn esto x sarkhari hospital	Negative
17578	yo sali boksi budi laii pani ekdin yestaii garne xa	Negative
12523	sahi kura vannu vayo dr. prakash le. ohan le vaneko jastai vautik karwahi garnu nai parx. ab mahatma gandhi ko jastai kura kam garnu kam xain. doing great job. wish you good luck.	Positive
15320	class 10 ma tw malai love vanne ni thaha thiyenw yr 😅	Neutral
18927	don't cry sis be strong 1 din hajurko jeet hunxa	Neutral
10302	download hune banana mu****ji sudhooo	Negative
25745	hajur ko fon number dinu hola hajur ko name pane ma lankatah batab 29	Neutral
26860	stander milena hu dr k c ra bista sanga urusha regmi ko	Negative
16721	-unsuccessful people: dukhi lai badey hunthyo, dukha gare po tha hunxa re, bla bla bla 😆 like most nepali peoples mindset	Negative
13498	wauu k jadu xa ho yo nani ma omg,omg,omg	Positive
26930	anmol bhatta so jealous of ekaraj neupane 3 year ko experience le 30 year ko experience lai harai diyo tei vayer khate ankit bhatta ra tesko khate chora anmol bhatta	Negative
26076	yo damala ni film flop garna mildaixa 😠	Negative
26107	resa gurung go back india rama le vaneko kura 100% sahi xa jai rama jai nepal we support rama	Positive
15347	police chauki ya maiti januthiyo timi samparkbihin vayer vageu timro galtix simrn babu	Neutral
10462	hahaha ko ho yo yato hahahahaha side lagaunu	Negative
27542	ra ketile buda aunjel samma kurnu partheu	Neutral
11039	eka chotilai mafa dinus plz lahure dai	Neutral
12303	tero bau kuyeko buda aakar	Negative
26529	sherpa words outweighs abhisek joshi	Neutral
11879	quite insightful, tks doc	Positive
24078	alina ji le yo show ko respect nagareko dekhe maile discipline ma nabseko dekha +judge haru ki comment nasunera sedhai gayara sit ma basne ani	Negative
15091	thanks a lot aakar deuja vaile garda yati dherai chhutty sameko jodilai feri jodidinu vayo. wow yeti dherai khushi ko ra simai xina ..really..tq so much	Positive
23482	badmash ko rules x ,chanakho saath election ko tayari hoss ,agrim jitko suvakamanaa miyaa sir 🤗	Neutral
26824	yesko kura sunera purai doubt lagxa	Negative
19896	ko ho tyo papi family?? yesto chai kasailai nagarnu papi haru. please be strong do whatever you feel better and keep moving 👏	Negative
27655	jeena mor sale khatini	Negative
31253	prime time ma balla views gayexa	Neutral
22212	budhiko lagi runy hajben vaggymanily matarw pauxa 🙏👀	Neutral
27436	no mcc sanjeev sir	Neutral
20585	luto luto raja bachauuu timro desh lie	Negative
18099	we want nepal as hindu rastra again... 🇳🇵🕉️🚩	Neutral
16158	yo natak gardai xa	Negative
16810	lobhi deepak and dipa	Negative
10690	kata ka chor rai parechn udai deu sanjeev dai xito 😡	Negative
22712	haita kasto hau yo aimai hru i saw many's lahureko budi yesari bigreko	Negative
21582	land owner ko contact number chaiyo malai	Neutral
17391	beautiful pani rahexin ani talent pani well done 👍👏	Positive
31597	dheraiiiiiiiiiiiiiiiiiiiiiiiiii aasu aayo didi .....kura sunerw ......mero jiban xang milyo	Neutral
17319	joodi nambar one.joodi nepali industry 💘 😻 💜	Positive
25885	police lai rhes na dhekhaunu.	Neutral
12077	yo decision kasto unfair lageu but may be coz of money can buy everything vaneko jasto i'm not sure but parajdle po jitxa ki	Neutral
24437	aaja reenu kata loses & 1 bora badeko vaye jhanai janta haru more happy hunethiyo jaye sarkar paras 🇳🇵	Neutral
18126	laj navaya ka kukur haru no king again	Negative
27377	sarai ramro lagyo yo program all the best neresh sir 🙏❤️❤️❤️❤️❤️	Positive
25148	mero phone bigreko ho ki yo interview ma sound problem vako 🙄	Neutral
20681	yo 480 jana ko dislikes dekhera acchamma lagyo	Neutral
26120	salute niharika.ladai le nikkai anuvabi banayex.mahan nari bannu.mero suvexa.	Positive
15811	yo babalai kah vetna sakinxa??plz	Neutral
21153	thanku so much amrit daii we r so happy n hajur lai iswar ko aasish rahos ani sishir n smita ko jodii lai badaii didai khusi rahun vani kamna garxw	Positive
10671	ruchi didi is best	Positive
24248	excellent interview of sumit bhatta	Positive
21708	lu cast ko pni tahi laro intercast ko pni tahi laro k vako nepal ko machay	Neutral
17735	ekaraj attitude ali badi bhako jasto lagyo bujhna paryo ekaraj bhai life tesari chaldaina ...plz recover ur mind	Neutral
31792	dna test garaw nu	Neutral
